Model,Task,Precision,Primary_Average,Primary_Median,Primary_StdDev,Secondary_Average,Secondary_Median,Secondary_StdDev
EkcupKadakChai/Llama-3B_LoRA_FP16_rag-FP16,rag,FP16,0.7683333333333332,0.77,0.006236095644623242,0.8411797298562004,0.8435109792168615,0.010645335701957798
EkcupKadakChai/Llama-3B_QLoRA_INT4_rag-MERGED,rag,INT4,0.75,0.75,0.004082482904638634,0.8121671297971608,0.806566229522112,0.010169165229265817
EkcupKadakChai/Llama-3B_LoRA_FP16_rag-INT8,rag,INT8,0.7666666666666666,0.77,0.008498365855987983,0.8243577857327858,0.8216024531024531,0.00458594770754564
EkcupKadakChai/Llama-3B_LoRA_FP16_rag-INT4,rag,INT4,0.7716666666666668,0.77,0.006236095644623242,0.8266359706136127,0.8316275506249932,0.012195868526905561
EkcupKadakChai/Llama-1B_LoRA_FP16_rag-INT8,rag,INT8,0.7533333333333334,0.76,0.013123346456686365,0.8010663595663595,0.8059975258659469,0.01105056782752272
EkcupKadakChai/Llama-7B_QLoRA_INT4_rag-MERGED,rag,INT4,0.7666666666666666,0.77,0.004714045207910321,0.8335869182474446,0.8340321123321124,0.0074623990281613255
EkcupKadakChai/Llama-3B_LoRA_FP16_summ-INT8,summ,INT8,0.86,0.87,0.0177951304200522,0.2457577456687634,0.24730857470703768,0.006333146018361548
EkcupKadakChai/Llama-3B_LoRA_FP16_summ-FP16,summ,FP16,0.8783333333333333,0.9,0.030641293851417086,0.2504728393475048,0.24938441028144123,0.0039060505819643694
EkcupKadakChai/Llama-3B_QLoRA_INT4_summ-MERGED,summ,INT4,0.89,0.895,0.014719601443879758,0.24718324411134115,0.24863906779971756,0.007442918170727271
EkcupKadakChai/Llama-3B_LoRA_FP16_summ-INT4,summ,INT4,0.8716666666666666,0.86,0.020138409955990973,0.23192442098883,0.2320431565436774,0.004397310914195479
EkcupKadakChai/Llama-1B_LoRA_FP16_summ-INT8,summ,INT8,0.7833333333333333,0.77,0.022484562605386706,0.22341643811310244,0.22439954865887518,0.006551148947407959
EkcupKadakChai/Llama-7B_QLoRA_INT4_summ-MERGED,summ,INT4,0.9233333333333333,0.92,0.004714045207910321,0.2839638496685535,0.28052564925233375,0.005258354145427549
EkcupKadakChai/Llama-7B_LoRA_FP16_chat-INT8,chat,INT8,7.645,7.645,0.02041241452319308,9.443333333333333,9.455,0.02392116682401211
