Model,Task,Precision,Primary_Average,Primary_Median,Primary_StdDev,Secondary_Average,Secondary_Median,Secondary_StdDev
aclnlp/Qwen-7B_LoRA_FP16_summ-INT8,summ,INT8,0.8883333333333333,0.9,0.020138409955990973,0.2849426664610221,0.2848787474724455,0.0048734736412195225
aclnlp/Qwen-7B_LoRA_FP16_summ-INT4,summ,INT4,0.8850000000000001,0.89,0.018708286933869726,0.27075001583795455,0.2717488100953734,0.0056866526298928275
aclnlp/Qwen-1B_LoRA_FP16_summ-FP16,summ,FP16,0.7949999999999999,0.785,0.01414213562373091,0.20052101668713698,0.1990575111958588,0.0036987984697536788
aclnlp/Qwen-1B_QLoRA_INT4_summ-MERGED,summ,INT4,0.8233333333333333,0.825,0.006236095644623242,0.2015476030956621,0.2022179666084098,0.0033061378788995246
aclnlp/Qwen-1B_LoRA_FP16_summ-INT4,summ,INT4,0.7816666666666667,0.785,0.012472191289246483,0.19266939209156142,0.19137105120087394,0.0034456205546925384
aclnlp/Qwen-7B_LoRA_FP16_summ-FP16,summ,FP16,0.8916666666666667,0.885,0.013123346456686363,0.28489319317420997,0.28529909523272834,0.007174162830005808
aclnlp/Qwen-3B_LoRA_FP16_chat-FP16,chat,FP16,7.486666666666667,7.46,0.07191816336797137,9.409999999999998,9.4,0.04143267631552001
aclnlp/Qwen-3B_QLoRA_INT4_chat-MERGED,chat,INT4,7.1883333333333335,7.16,0.05482294734466167,9.54,9.555,0.028577380332470217
aclnlp/Qwen-3B_LoRA_FP16_chat-INT8,chat,INT8,7.403333333333333,7.535,0.19690663326110225,9.398333333333333,9.4,0.006236095644622786
aclnlp/Qwen-3B_LoRA_FP16_chat-INT4,chat,INT4,6.841666666666666,6.75,0.23174459121100444,9.540000000000001,9.55,0.09009254501159675
aclnlp/Qwen-1B_LoRA_FP16_chat-INT8,chat,INT8,7.373333333333334,7.355,0.033249895572099966,9.351666666666667,9.325,0.04129837231121304
aclnlp/Qwen-7B_QLoRA_INT4_chat-MERGED,chat,INT4,7.704999999999999,7.7,0.01870828693387002,9.416666666666666,9.415,0.018408935028645417
aclnlp/Qwen-7B_LoRA_FP16_chat-INT8,chat,INT8,7.511666666666667,7.61,0.14619241506392283,9.406666666666666,9.385,0.08106924338010224
