Family,Size,Method,Task,Quantization,Model_Name,Raw_Score,Normalized_Score_0_1,Energy_per_Req_J,IPW,Power_Avg_W,Throughput_tokens_s
Qwen,7B,LoRA,summ,INT8,aclnlp/Qwen-7B_LoRA_FP16_summ-INT8,0.8883333333333333,0.8883333333333333,18.512,0.04798689138576779,119.83,1294.62
Qwen,7B,LoRA,summ,INT4,aclnlp/Qwen-7B_LoRA_FP16_summ-INT4,0.8850000000000001,0.8850000000000001,12.2548,0.07221660084211902,93.9,1532.46
Qwen,1B,LoRA,summ,FP16,aclnlp/Qwen-1B_LoRA_FP16_summ-FP16,0.7949999999999999,0.7949999999999999,8.9661,0.0886673135476963,102.41,2284.39
Qwen,1B,QLoRA,summ,INT4,aclnlp/Qwen-1B_QLoRA_INT4_summ-MERGED,0.8233333333333333,0.8233333333333333,3.5892,0.22939187934172886,70.28,3916.22
Qwen,1B,LoRA,summ,INT4,aclnlp/Qwen-1B_LoRA_FP16_summ-INT4,0.7816666666666667,0.7816666666666667,3.5179,0.22219695462254946,74.32,4225.27
Qwen,7B,LoRA,summ,FP16,aclnlp/Qwen-7B_LoRA_FP16_summ-FP16,0.8916666666666667,0.8916666666666667,28.7077,0.031060191748787495,127.94,891.33
Qwen,3B,LoRA,chat,FP16,aclnlp/Qwen-3B_LoRA_FP16_chat-FP16,7.486666666666667,0.7486666666666667,7.407100000000001,0.10107419457907503,107.85,1456.04
Qwen,3B,QLoRA,chat,INT4,aclnlp/Qwen-3B_QLoRA_INT4_chat-MERGED,7.1883333333333335,0.7188333333333333,3.122,0.2302477044629511,89.65,2871.53
Qwen,3B,LoRA,chat,INT8,aclnlp/Qwen-3B_LoRA_FP16_chat-INT8,7.403333333333333,0.7403333333333333,4.2089,0.17589710692421615,93.3,2216.71
Qwen,3B,LoRA,chat,INT4,aclnlp/Qwen-3B_LoRA_FP16_chat-INT4,6.841666666666666,0.6841666666666666,3.0239,0.2262530727427053,92.73,3066.61
Qwen,1B,LoRA,chat,INT8,aclnlp/Qwen-1B_LoRA_FP16_chat-INT8,7.373333333333334,0.7373333333333334,2.4045,0.3066472586123241,88.45,3678.47
Qwen,7B,QLoRA,chat,INT4,aclnlp/Qwen-7B_QLoRA_INT4_chat-MERGED,7.704999999999999,0.7705,5.8146,0.13251126474736008,103.34,1777.24
Qwen,7B,LoRA,chat,INT8,aclnlp/Qwen-7B_LoRA_FP16_chat-INT8,7.511666666666667,0.7511666666666666,8.9138,0.0842700830921343,127.17,1426.67
Qwen,7B,LoRA,chat,INT4,aclnlp/Qwen-7B_LoRA_FP16_chat-INT4,7.666666666666667,0.7666666666666667,5.5241,0.13878580522920778,108.72,1968.11
Qwen,1B,LoRA,chat,FP16,aclnlp/Qwen-1B_LoRA_FP16_chat-FP16,7.086666666666667,0.7086666666666667,3.7508999999999997,0.18893243399361934,95.31,2541.0
Qwen,1B,QLoRA,chat,INT4,aclnlp/Qwen-1B_QLoRA_INT4_chat-MERGED,6.489999999999999,0.6489999999999999,1.5269,0.4250442072172375,74.16,4856.9
Qwen,1B,LoRA,chat,INT4,aclnlp/Qwen-1B_LoRA_FP16_chat-INT4,7.323333333333333,0.7323333333333333,1.5258,0.47996679337615233,70.02,4589.1
Qwen,7B,LoRA,chat,FP16,aclnlp/Qwen-7B_LoRA_FP16_chat-FP16,7.580000000000001,0.7580000000000001,12.9851,0.05837459857837061,125.74,968.34
Qwen,7B,LoRA,rag,INT8,aclnlp/Qwen-7B_LoRA_FP16_rag-INT8,0.775,0.775,12.4461,0.06226850177967396,111.71,1346.33
Qwen,7B,LoRA,rag,INT4,aclnlp/Qwen-7B_LoRA_FP16_rag-INT4,0.7666666666666667,0.7666666666666667,9.4586,0.08105498347183163,101.91,1616.14
Qwen,1B,LoRA,rag,FP16,aclnlp/Qwen-1B_LoRA_FP16_rag-FP16,0.7666666666666666,0.7666666666666666,5.5997,0.1369120964813591,88.09,2359.66
Qwen,1B,QLoRA,rag,INT4,aclnlp/Qwen-1B_QLoRA_INT4_rag-MERGED,0.7333333333333334,0.7333333333333334,2.3629,0.3103530971828404,70.84,4497.11
Qwen,1B,LoRA,rag,INT4,aclnlp/Qwen-1B_LoRA_FP16_rag-INT4,0.745,0.745,2.6254000000000004,0.2837662832330311,69.08,3946.82
Qwen,7B,LoRA,rag,FP16,aclnlp/Qwen-7B_LoRA_FP16_rag-FP16,0.7816666666666667,0.7816666666666667,20.3598,0.038392649567612,133.68,984.88
Qwen,3B,LoRA,summ,FP16,aclnlp/Qwen-3B_LoRA_FP16_summ-FP16,0.8649999999999999,0.8649999999999999,17.0698,0.05067429026702128,107.48,1259.3
Qwen,3B,QLoRA,summ,INT4,aclnlp/Qwen-3B_QLoRA_INT4_summ-MERGED,0.8650000000000001,0.8650000000000001,6.7364,0.12840686420046318,81.32,2414.36
Qwen,3B,LoRA,summ,INT8,aclnlp/Qwen-3B_LoRA_FP16_summ-INT8,0.8516666666666666,0.8516666666666666,11.8955,0.07159570145573255,104.54,1757.64
Qwen,3B,LoRA,summ,INT4,aclnlp/Qwen-3B_LoRA_FP16_summ-INT4,0.8633333333333333,0.8633333333333333,7.200900000000001,0.11989242085480054,92.96,2581.89
Qwen,1B,LoRA,summ,INT8,aclnlp/Qwen-1B_LoRA_FP16_summ-INT8,0.7933333333333334,0.7933333333333334,5.3267,0.1489352382025144,79.97,3002.61
Qwen,7B,QLoRA,summ,INT4,aclnlp/Qwen-7B_QLoRA_INT4_summ-MERGED,0.88,0.88,12.456,0.07064868336544637,101.3,1626.52
Qwen,3B,LoRA,rag,FP16,aclnlp/Qwen-3B_LoRA_FP16_rag-FP16,0.77,0.77,12.9246,0.05957631183943797,124.03,1439.46
Qwen,3B,QLoRA,rag,INT4,aclnlp/Qwen-3B_QLoRA_INT4_rag-MERGED,0.7716666666666666,0.7716666666666666,5.0741000000000005,0.1520795149221865,89.71,2652.0
Qwen,3B,LoRA,rag,INT8,aclnlp/Qwen-3B_LoRA_FP16_rag-INT8,0.7783333333333333,0.7783333333333333,7.0378,0.11059327251887427,99.41,2118.77
Qwen,3B,LoRA,rag,INT4,aclnlp/Qwen-3B_LoRA_FP16_rag-INT4,0.775,0.775,5.5656,0.13924823918355614,88.07,2373.6
Qwen,1B,LoRA,rag,INT8,aclnlp/Qwen-1B_LoRA_FP16_rag-INT8,0.77,0.77,4.0682,0.18927289710437048,85.12,3138.51
Qwen,7B,QLoRA,rag,INT4,aclnlp/Qwen-7B_QLoRA_INT4_rag-MERGED,0.77,0.77,7.8924,0.09756221174801075,95.68,1818.45
Llama,3B,LoRA,rag,FP16,EkcupKadakChai/Llama-3B_LoRA_FP16_rag-FP16,0.7683333333333332,0.7683333333333332,12.828199999999999,0.05989408750513192,111.58,1304.7
Llama,3B,QLoRA,rag,INT4,EkcupKadakChai/Llama-3B_QLoRA_INT4_rag-MERGED,0.75,0.75,5.3337,0.14061533269587714,83.35,2344.04
Llama,3B,LoRA,rag,INT8,EkcupKadakChai/Llama-3B_LoRA_FP16_rag-INT8,0.7666666666666666,0.7666666666666666,8.0334,0.09543489265649246,107.56,2008.36
Llama,3B,LoRA,rag,INT4,EkcupKadakChai/Llama-3B_LoRA_FP16_rag-INT4,0.7716666666666668,0.7716666666666668,5.2358,0.14738276226491975,90.64,2596.76
Llama,1B,LoRA,rag,INT8,EkcupKadakChai/Llama-1B_LoRA_FP16_rag-INT8,0.7533333333333334,0.7533333333333334,4.0876,0.18429722412499594,88.78,3257.93
Llama,7B,QLoRA,rag,INT4,EkcupKadakChai/Llama-7B_QLoRA_INT4_rag-MERGED,0.7666666666666666,0.7666666666666666,9.0752,0.08447931358721203,102.99,1702.28
Llama,3B,LoRA,summ,INT8,EkcupKadakChai/Llama-3B_LoRA_FP16_summ-INT8,0.86,0.86,11.9855,0.07175336865378999,108.37,1808.35
Llama,3B,LoRA,summ,FP16,EkcupKadakChai/Llama-3B_LoRA_FP16_summ-FP16,0.8783333333333333,0.8783333333333333,17.884900000000002,0.04911032957038246,114.95,1285.44
Llama,3B,QLoRA,summ,INT4,EkcupKadakChai/Llama-3B_QLoRA_INT4_summ-MERGED,0.89,0.89,8.6168,0.10328660291523536,91.88,2132.58
Llama,3B,LoRA,summ,INT4,EkcupKadakChai/Llama-3B_LoRA_FP16_summ-INT4,0.8716666666666666,0.8716666666666666,7.187200000000001,0.1212804244582962,82.63,2299.36
Llama,1B,LoRA,summ,INT8,EkcupKadakChai/Llama-1B_LoRA_FP16_summ-INT8,0.7833333333333333,0.7833333333333333,6.0676,0.12910101742589053,87.54,2885.51
Llama,7B,QLoRA,summ,INT4,EkcupKadakChai/Llama-7B_QLoRA_INT4_summ-MERGED,0.9233333333333332,0.9233333333333332,14.5919,0.06327711492905881,106.58,1460.81
Llama,7B,LoRA,chat,INT8,EkcupKadakChai/Llama-7B_LoRA_FP16_chat-INT8,7.645,0.7645,8.4916,0.09003014743982288,123.97,1459.91
Llama,7B,LoRA,chat,INT4,EkcupKadakChai/Llama-7B_LoRA_FP16_chat-INT4,7.668333333333333,0.7668333333333333,5.0922,0.1505897909220638,98.96,1943.38
Llama,1B,LoRA,chat,FP16,EkcupKadakChai/Llama-1B_LoRA_FP16_chat-FP16,6.6433333333333335,0.6643333333333333,3.4723,0.19132371434879858,89.53,2578.41
