Adapter_Name,Base_Model,Adapter_Type,Operation,Precision,Total_Joules,Avg_Watts,Seconds,HF_Repo,Status,GPU0_Joules,GPU0_Peak_Watts,GPU1_Joules,GPU1_Peak_Watts
1B_LoRA_FP16_chat,meta-llama/Llama-3.2-1B-Instruct,LoRA_FP16,MERGE,FP16,2360.66,51.97,45.42,EkcupKadakChai/Llama-1B_LoRA_FP16_chat-FP16,SUCCESS,1178.35,29.73,1182.30,29.81
1B_LoRA_FP16_chat,meta-llama/Llama-3.2-1B-Instruct,LoRA_FP16,QUANTIZE,INT8,2564.72,51.64,49.67,EkcupKadakChai/Llama-1B_LoRA_FP16_chat-INT8,SUCCESS,1277.29,30.32,1287.43,35.68
1B_LoRA_FP16_chat,meta-llama/Llama-3.2-1B-Instruct,LoRA_FP16,QUANTIZE,INT4,2131.73,50.34,42.35,EkcupKadakChai/Llama-1B_LoRA_FP16_chat-INT4,SUCCESS,1062.31,30.32,1069.42,34.73
1B_LoRA_FP16_rag,meta-llama/Llama-3.2-1B-Instruct,LoRA_FP16,MERGE,FP16,2519.62,44.04,57.21,EkcupKadakChai/Llama-1B_LoRA_FP16_rag-FP16,SUCCESS,1282.28,27.65,1237.35,26.76
1B_LoRA_FP16_rag,meta-llama/Llama-3.2-1B-Instruct,LoRA_FP16,QUANTIZE,INT8,2202.99,41.04,53.68,EkcupKadakChai/Llama-1B_LoRA_FP16_rag-INT8,SUCCESS,1123.15,30.29,1079.84,28.32
1B_LoRA_FP16_rag,meta-llama/Llama-3.2-1B-Instruct,LoRA_FP16,QUANTIZE,INT4,2107.93,47.52,44.36,EkcupKadakChai/Llama-1B_LoRA_FP16_rag-INT4,SUCCESS,1077.19,28.54,1030.74,32.46
1B_LoRA_FP16_summ,meta-llama/Llama-3.2-1B-Instruct,LoRA_FP16,MERGE,FP16,2367.40,49.84,47.50,EkcupKadakChai/Llama-1B_LoRA_FP16_summ-FP16,SUCCESS,1212.58,29.12,1154.82,27.55
1B_LoRA_FP16_summ,meta-llama/Llama-3.2-1B-Instruct,LoRA_FP16,QUANTIZE,INT8,2104.60,45.92,45.83,EkcupKadakChai/Llama-1B_LoRA_FP16_summ-INT8,SUCCESS,1079.71,29.89,1024.89,28.42
1B_LoRA_FP16_summ,meta-llama/Llama-3.2-1B-Instruct,LoRA_FP16,QUANTIZE,INT4,1859.88,47.05,39.53,EkcupKadakChai/Llama-1B_LoRA_FP16_summ-INT4,SUCCESS,953.89,29.12,905.99,32.36
3B_LoRA_FP16_chat,meta-llama/Llama-3.2-3B-Instruct,LoRA_FP16,MERGE,FP16,5877.02,48.01,122.41,EkcupKadakChai/Llama-3B_LoRA_FP16_chat-FP16,SUCCESS,3026.19,29.79,2850.82,28.72
