Adapter_Name,Base_Model,Adapter_Type,Operation,Precision,Total_Joules,Avg_Watts,Seconds,HF_Repo,Status,GPU0_Joules,GPU0_Peak_Watts,GPU1_Joules,GPU1_Peak_Watts
1B_LoRA_FP16_chat,Qwen/Qwen2.5-1.5B-Instruct,LoRA_FP16,MERGE,FP16,1156.62,34.41,33.61,aclnlp/Qwen-1B_LoRA_FP16_chat-FP16,SUCCESS,587.86,27.64,568.76,27.15
1B_LoRA_FP16_chat,Qwen/Qwen2.5-1.5B-Instruct,LoRA_FP16,QUANTIZE,INT8,417.73,45.02,9.28,aclnlp/Qwen-1B_LoRA_FP16_chat-INT8,SUCCESS,210.73,30.38,207.00,28.92
1B_LoRA_FP16_chat,Qwen/Qwen2.5-1.5B-Instruct,LoRA_FP16,QUANTIZE,INT4,280.08,47.84,5.85,aclnlp/Qwen-1B_LoRA_FP16_chat-INT4,SUCCESS,140.95,28.43,139.12,30.18
1B_LoRA_FP16_rag,Qwen/Qwen2.5-1.5B-Instruct,LoRA_FP16,MERGE,FP16,419.17,41.42,10.12,aclnlp/Qwen-1B_LoRA_FP16_rag-FP16,SUCCESS,212.96,29.21,206.21,27.84
1B_LoRA_FP16_rag,Qwen/Qwen2.5-1.5B-Instruct,LoRA_FP16,QUANTIZE,INT8,342.81,44.01,7.79,aclnlp/Qwen-1B_LoRA_FP16_rag-INT8,SUCCESS,174.92,30.68,167.89,29.49
1B_LoRA_FP16_rag,Qwen/Qwen2.5-1.5B-Instruct,LoRA_FP16,QUANTIZE,INT4,286.32,48.47,5.91,aclnlp/Qwen-1B_LoRA_FP16_rag-INT4,SUCCESS,145.08,29.30,141.23,30.77
1B_LoRA_FP16_summ,Qwen/Qwen2.5-1.5B-Instruct,LoRA_FP16,MERGE,FP16,440.13,44.04,9.99,aclnlp/Qwen-1B_LoRA_FP16_summ-FP16,SUCCESS,218.32,29.30,221.81,54.20
1B_LoRA_FP16_summ,Qwen/Qwen2.5-1.5B-Instruct,LoRA_FP16,QUANTIZE,INT8,347.17,43.85,7.92,aclnlp/Qwen-1B_LoRA_FP16_summ-INT8,SUCCESS,178.01,31.25,169.16,29.20
1B_LoRA_FP16_summ,Qwen/Qwen2.5-1.5B-Instruct,LoRA_FP16,QUANTIZE,INT4,290.52,50.19,5.79,aclnlp/Qwen-1B_LoRA_FP16_summ-INT4,SUCCESS,148.02,29.69,142.50,32.25
3B_LoRA_FP16_chat,Qwen/Qwen2.5-3B-Instruct,LoRA_FP16,MERGE,FP16,1988.78,46.24,43.01,aclnlp/Qwen-3B_LoRA_FP16_chat-FP16,SUCCESS,1026.52,30.48,962.25,28.33
3B_LoRA_FP16_chat,Qwen/Qwen2.5-3B-Instruct,LoRA_FP16,QUANTIZE,INT8,674.77,43.07,15.67,aclnlp/Qwen-3B_LoRA_FP16_chat-INT8,SUCCESS,350.08,32.72,324.70,29.39
3B_LoRA_FP16_chat,Qwen/Qwen2.5-3B-Instruct,LoRA_FP16,QUANTIZE,INT4,527.58,47.51,11.10,aclnlp/Qwen-3B_LoRA_FP16_chat-INT4,SUCCESS,272.73,30.48,254.85,31.54
3B_LoRA_FP16_rag,Qwen/Qwen2.5-3B-Instruct,LoRA_FP16,MERGE,FP16,1607.10,42.38,37.92,aclnlp/Qwen-3B_LoRA_FP16_rag-FP16,SUCCESS,836.83,30.97,770.27,28.33
3B_LoRA_FP16_rag,Qwen/Qwen2.5-3B-Instruct,LoRA_FP16,QUANTIZE,INT8,626.18,42.38,14.78,aclnlp/Qwen-3B_LoRA_FP16_rag-INT8,SUCCESS,326.81,33.31,299.37,30.68
3B_LoRA_FP16_rag,Qwen/Qwen2.5-3B-Instruct,LoRA_FP16,QUANTIZE,INT4,855.38,51.48,16.62,aclnlp/Qwen-3B_LoRA_FP16_rag-INT4,SUCCESS,446.70,33.02,408.68,31.64
3B_LoRA_FP16_summ,Qwen/Qwen2.5-3B-Instruct,LoRA_FP16,MERGE,FP16,1381.77,40.77,33.89,aclnlp/Qwen-3B_LoRA_FP16_summ-FP16,SUCCESS,723.85,31.25,657.92,28.31
3B_LoRA_FP16_summ,Qwen/Qwen2.5-3B-Instruct,LoRA_FP16,QUANTIZE,INT8,804.52,47.22,17.04,aclnlp/Qwen-3B_LoRA_FP16_summ-INT8,SUCCESS,421.23,33.61,383.29,30.48
3B_LoRA_FP16_summ,Qwen/Qwen2.5-3B-Instruct,LoRA_FP16,QUANTIZE,INT4,769.72,51.32,15.00,aclnlp/Qwen-3B_LoRA_FP16_summ-INT4,SUCCESS,403.29,33.61,366.43,32.43
7B_LoRA_FP16_chat,Qwen/Qwen2.5-7B-Instruct,LoRA_FP16,MERGE,FP16,7095.51,38.99,181.96,aclnlp/Qwen-7B_LoRA_FP16_chat-FP16,SUCCESS,3729.28,40.42,3366.22,36.22
