Family,Size,Method,Task,Quantization,Model_Name,Training_Cost_USD,Training_Energy_kWh,GPT4o_Cost_Per_Req,Local_Cost_Per_Req,Cost_Savings_Per_Req,N_break,ROI_Within_Hour,Hours_to_Breakeven
Qwen,1B,LoRA,rag,FP16,aclnlp/Qwen-1B_LoRA_FP16_rag-FP16,0.006420292,0.053502433333333335,0.00125,1.8665666666666666e-07,0.0012498133433333333,5.137000684339522,Yes,0.08561667807232537
Qwen,1B,LoRA,rag,INT8,aclnlp/Qwen-1B_LoRA_FP16_rag-INT8,0.006420292,0.053502433333333335,0.00125,1.3560666666666666e-07,0.0012498643933333334,5.136790866469412,Yes,0.08561318110782354
Qwen,1B,LoRA,rag,INT4,aclnlp/Qwen-1B_LoRA_FP16_rag-INT4,0.006420292,0.053502433333333335,0.00125,8.751333333333334e-08,0.0012499124866666668,5.136593216315469,Yes,0.08560988693859115
Qwen,1B,LoRA,summ,FP16,aclnlp/Qwen-1B_LoRA_FP16_summ-FP16,0.003185543,0.026546191666666667,0.00125,2.9887000000000003e-07,0.0012497011300000001,2.5490438661922306,Yes,0.042484064436537176
Qwen,1B,LoRA,summ,INT8,aclnlp/Qwen-1B_LoRA_FP16_summ-INT8,0.003185543,0.026546191666666667,0.00125,1.7755666666666666e-07,0.0012498224433333334,2.5487964446405775,Yes,0.042479940744009625
Qwen,1B,LoRA,summ,INT4,aclnlp/Qwen-1B_LoRA_FP16_summ-INT4,0.003185543,0.026546191666666667,0.00125,1.1726333333333333e-07,0.0012498827366666666,2.5486734927594714,Yes,0.042477891545991193
Qwen,1B,LoRA,chat,FP16,aclnlp/Qwen-1B_LoRA_FP16_chat-FP16,0.009821859333333334,0.08184882777777779,0.00125,1.2503e-07,0.00124987497,7.858273482613492,Yes,0.13097122471022488
Qwen,1B,LoRA,chat,INT8,aclnlp/Qwen-1B_LoRA_FP16_chat-INT8,0.009821859333333334,0.08184882777777779,0.00125,8.015e-08,0.00124991985,7.857991321070174,Yes,0.13096652201783623
Qwen,1B,LoRA,chat,INT4,aclnlp/Qwen-1B_LoRA_FP16_chat-INT4,0.009821859333333334,0.08184882777777779,0.00125,5.086e-08,0.00124994914,7.857807185125415,Yes,0.1309634530854236
Qwen,1B,QLoRA,rag,INT4,aclnlp/Qwen-1B_QLoRA_INT4_rag-MERGED,0.032797741,0.2733145083333333,0.00125,7.876333333333333e-08,0.0012499212366666667,26.239846190201675,No,0.43733076983669456
Qwen,1B,QLoRA,summ,INT4,aclnlp/Qwen-1B_QLoRA_INT4_summ-MERGED,0.04733964533333334,0.3944970444444445,0.00125,1.1963999999999998e-07,0.00124988036,37.87534139134192,No,0.6312556898556987
Qwen,1B,QLoRA,chat,INT4,aclnlp/Qwen-1B_QLoRA_INT4_chat-MERGED,0.05928589866666666,0.49404915555555556,0.00125,5.089666666666666e-08,0.0012499491033333334,47.430650182927046,No,0.7905108363821174
Qwen,3B,LoRA,rag,FP16,aclnlp/Qwen-3B_LoRA_FP16_rag-FP16,0.005561514666666666,0.046345955555555554,0.00125,4.3082e-07,0.00124956918,4.450745709546602,Yes,0.07417909515911005
Qwen,3B,LoRA,rag,INT8,aclnlp/Qwen-3B_LoRA_FP16_rag-INT8,0.005561514666666666,0.046345955555555554,0.00125,2.3459333333333333e-07,0.0012497654066666666,4.450046894400891,Yes,0.07416744824001484
Qwen,3B,LoRA,rag,INT4,aclnlp/Qwen-3B_LoRA_FP16_rag-INT4,0.005561514666666666,0.046345955555555554,0.00125,1.8551999999999998e-07,0.00124981448,4.449872165560657,Yes,0.07416453609267762
Qwen,3B,LoRA,summ,FP16,aclnlp/Qwen-3B_LoRA_FP16_summ-FP16,0.005152250666666666,0.04293542222222222,0.00125,5.689933333333333e-07,0.0012494310066666666,4.123677609388179,Yes,0.06872796015646965
Qwen,3B,LoRA,summ,INT8,aclnlp/Qwen-3B_LoRA_FP16_summ-INT8,0.005152250666666666,0.04293542222222222,0.00125,3.9651666666666663e-07,0.0012496034833333334,4.123108438304742,Yes,0.0687184739717457
Qwen,3B,LoRA,summ,INT4,aclnlp/Qwen-3B_LoRA_FP16_summ-INT4,0.005152250666666666,0.04293542222222222,0.00125,2.4003e-07,0.00124975997,4.1225921699721795,Yes,0.06870986949953632
Qwen,3B,LoRA,chat,FP16,aclnlp/Qwen-3B_LoRA_FP16_chat-FP16,0.016068257,0.13390214166666667,0.00125,2.4690333333333334e-07,0.0012497530966666668,12.857145177601199,Yes,0.21428575296001998
Qwen,3B,LoRA,chat,INT8,aclnlp/Qwen-3B_LoRA_FP16_chat-INT8,0.016068257,0.13390214166666667,0.00125,1.4029666666666666e-07,0.0012498597033333333,12.856048528604054,Yes,0.21426747547673425
Qwen,3B,LoRA,chat,INT4,aclnlp/Qwen-3B_LoRA_FP16_chat-INT4,0.016068257,0.13390214166666667,0.00125,1.0079666666666666e-07,0.0012498992033333333,12.8556422447089,Yes,0.21426070407848166
Qwen,3B,QLoRA,rag,INT4,aclnlp/Qwen-3B_QLoRA_INT4_rag-MERGED,0.045516285000000004,0.379302375,0.00125,1.6913666666666667e-07,0.0012498308633333334,36.417955689305685,No,0.6069659281550948
Qwen,3B,QLoRA,summ,INT4,aclnlp/Qwen-3B_QLoRA_INT4_summ-MERGED,0.055994947999999996,0.46662456666666663,0.00125,2.2454666666666666e-07,0.0012497754533333334,44.80400687231719,No,0.7467334478719532
