Family,Size,Method,Task,Quantization,Model_Name,Throughput_tokens_s,Model_Size_GB,rho_sys_tokens_s_per_GB,TTFT_Mean_ms,ITL_Mean_ms
Qwen,7B,LoRA,rag,INT8,aclnlp/Qwen-7B_LoRA_FP16_rag-INT8,1346.33,7.0,192.33285714285714,55.73,22.42
Qwen,7B,LoRA,rag,INT4,aclnlp/Qwen-7B_LoRA_FP16_rag-INT4,1616.14,4.375,369.4034285714286,52.25,15.24
Qwen,7B,LoRA,rag,FP16,aclnlp/Qwen-7B_LoRA_FP16_rag-FP16,984.88,14.0,70.34857142857143,75.24,28.59
Qwen,7B,QLoRA,rag,INT4,aclnlp/Qwen-7B_QLoRA_INT4_rag-MERGED,1818.45,4.375,415.6457142857143,54.43,16.44
Qwen,7B,LoRA,summ,INT8,aclnlp/Qwen-7B_LoRA_FP16_summ-INT8,1294.62,7.0,184.94571428571427,63.47,22.98
Qwen,7B,LoRA,summ,INT4,aclnlp/Qwen-7B_LoRA_FP16_summ-INT4,1532.46,4.375,350.27657142857146,49.53,15.11
Qwen,7B,LoRA,summ,FP16,aclnlp/Qwen-7B_LoRA_FP16_summ-FP16,891.33,14.0,63.666428571428575,74.61,26.95
Qwen,7B,QLoRA,summ,INT4,aclnlp/Qwen-7B_QLoRA_INT4_summ-MERGED,1626.52,4.375,371.776,52.38,16.32
Qwen,7B,LoRA,chat,INT8,aclnlp/Qwen-7B_LoRA_FP16_chat-INT8,1426.67,7.0,203.81,56.22,19.07
Qwen,7B,LoRA,chat,INT4,aclnlp/Qwen-7B_LoRA_FP16_chat-INT4,1968.11,4.375,449.85371428571426,50.57,18.22
Qwen,7B,LoRA,chat,FP16,aclnlp/Qwen-7B_LoRA_FP16_chat-FP16,968.34,14.0,69.16714285714286,69.01,24.81
Qwen,7B,QLoRA,chat,INT4,aclnlp/Qwen-7B_QLoRA_INT4_chat-MERGED,1777.24,4.375,406.2262857142857,54.21,15.46
Qwen,3B,LoRA,rag,FP16,aclnlp/Qwen-3B_LoRA_FP16_rag-FP16,1439.46,6.0,239.91,50.21,21.0
Qwen,3B,QLoRA,rag,INT4,aclnlp/Qwen-3B_QLoRA_INT4_rag-MERGED,2652.0,1.875,1414.4,34.56,13.29
Qwen,3B,LoRA,rag,INT8,aclnlp/Qwen-3B_LoRA_FP16_rag-INT8,2118.77,3.0,706.2566666666667,43.1,15.04
Qwen,3B,LoRA,rag,INT4,aclnlp/Qwen-3B_LoRA_FP16_rag-INT4,2373.6,1.875,1265.9199999999998,34.41,13.52
Qwen,3B,LoRA,summ,FP16,aclnlp/Qwen-3B_LoRA_FP16_summ-FP16,1259.3,6.0,209.88333333333333,54.31,21.17
Qwen,3B,QLoRA,summ,INT4,aclnlp/Qwen-3B_QLoRA_INT4_summ-MERGED,2414.36,1.875,1287.6586666666667,35.28,12.03
Qwen,3B,LoRA,summ,INT8,aclnlp/Qwen-3B_LoRA_FP16_summ-INT8,1757.64,3.0,585.88,39.47,14.27
Qwen,3B,LoRA,summ,INT4,aclnlp/Qwen-3B_LoRA_FP16_summ-INT4,2581.89,1.875,1377.008,34.8,13.18
Qwen,3B,LoRA,chat,FP16,aclnlp/Qwen-3B_LoRA_FP16_chat-FP16,1456.04,6.0,242.67333333333332,55.41,19.7
Qwen,3B,QLoRA,chat,INT4,aclnlp/Qwen-3B_QLoRA_INT4_chat-MERGED,2871.53,1.875,1531.4826666666668,32.53,11.45
Qwen,3B,LoRA,chat,INT8,aclnlp/Qwen-3B_LoRA_FP16_chat-INT8,2216.71,3.0,738.9033333333333,41.2,14.74
Qwen,3B,LoRA,chat,INT4,aclnlp/Qwen-3B_LoRA_FP16_chat-INT4,3066.61,1.875,1635.5253333333335,35.9,11.34
Qwen,1B,LoRA,rag,FP16,aclnlp/Qwen-1B_LoRA_FP16_rag-FP16,2359.66,2.0,1179.83,32.2,13.22
Qwen,1B,QLoRA,rag,INT4,aclnlp/Qwen-1B_QLoRA_INT4_rag-MERGED,4497.11,0.625,7195.375999999999,21.9,7.7
Qwen,1B,LoRA,rag,INT4,aclnlp/Qwen-1B_LoRA_FP16_rag-INT4,3946.82,0.625,6314.912,24.2,8.38
Qwen,1B,LoRA,rag,INT8,aclnlp/Qwen-1B_LoRA_FP16_rag-INT8,3138.51,1.0,3138.51,28.84,11.05
Qwen,1B,LoRA,summ,FP16,aclnlp/Qwen-1B_LoRA_FP16_summ-FP16,2284.39,2.0,1142.195,29.54,12.68
Qwen,1B,QLoRA,summ,INT4,aclnlp/Qwen-1B_QLoRA_INT4_summ-MERGED,3916.22,0.625,6265.951999999999,24.18,8.61
Qwen,1B,LoRA,summ,INT4,aclnlp/Qwen-1B_LoRA_FP16_summ-INT4,4225.27,0.625,6760.432000000001,23.48,8.86
Qwen,1B,LoRA,summ,INT8,aclnlp/Qwen-1B_LoRA_FP16_summ-INT8,3002.61,1.0,3002.61,26.39,11.06
Qwen,1B,LoRA,chat,FP16,aclnlp/Qwen-1B_LoRA_FP16_chat-FP16,2541.0,2.0,1270.5,29.99,13.05
Qwen,1B,QLoRA,chat,INT4,aclnlp/Qwen-1B_QLoRA_INT4_chat-MERGED,4856.9,0.625,7771.039999999999,23.76,7.47
Qwen,1B,LoRA,chat,INT4,aclnlp/Qwen-1B_LoRA_FP16_chat-INT4,4589.1,0.625,7342.56,20.49,7.82
Qwen,1B,LoRA,chat,INT8,aclnlp/Qwen-1B_LoRA_FP16_chat-INT8,3678.47,1.0,3678.47,26.72,9.93
Llama,7B,LoRA,rag,INT8,EkcupKadakChai/Llama-7B_LoRA_FP16_rag-INT8,1368.02,7.0,195.43142857142857,64.35,19.61
Llama,7B,LoRA,rag,INT4,EkcupKadakChai/Llama-7B_LoRA_FP16_rag-INT4,1682.2,4.375,384.5028571428572,46.11,17.85
Llama,7B,LoRA,rag,FP16,EkcupKadakChai/Llama-7B_LoRA_FP16_rag-FP16,883.49,14.0,63.10642857142857,73.98,27.6
Llama,7B,QLoRA,rag,INT4,EkcupKadakChai/Llama-7B_QLoRA_INT4_rag-MERGED,1702.28,4.375,389.09257142857143,47.94,17.05
Llama,7B,LoRA,summ,INT8,EkcupKadakChai/Llama-7B_LoRA_FP16_summ-INT8,1289.94,7.0,184.27714285714288,67.23,20.24
Llama,7B,LoRA,summ,INT4,EkcupKadakChai/Llama-7B_LoRA_FP16_summ-INT4,1534.32,4.375,350.7017142857143,46.25,15.93
Llama,7B,LoRA,summ,FP16,EkcupKadakChai/Llama-7B_LoRA_FP16_summ-FP16,788.15,14.0,56.29642857142857,82.04,29.37
Llama,7B,QLoRA,summ,INT4,EkcupKadakChai/Llama-7B_QLoRA_INT4_summ-MERGED,1460.81,4.375,333.8994285714286,46.36,16.37
Llama,7B,LoRA,chat,INT8,EkcupKadakChai/Llama-7B_LoRA_FP16_chat-INT8,1459.91,7.0,208.55857142857144,57.08,19.27
Llama,7B,LoRA,chat,INT4,EkcupKadakChai/Llama-7B_LoRA_FP16_chat-INT4,1943.38,4.375,444.2011428571429,53.11,17.65
Llama,7B,LoRA,chat,FP16,EkcupKadakChai/Llama-7B_LoRA_FP16_chat-FP16,1019.73,14.0,72.83785714285715,72.46,25.98
Llama,7B,QLoRA,chat,INT4,EkcupKadakChai/Llama-7B_QLoRA_INT4_chat-MERGED,1841.78,4.375,420.97828571428573,47.12,17.61
Llama,3B,LoRA,rag,FP16,EkcupKadakChai/Llama-3B_LoRA_FP16_rag-FP16,1304.7,6.0,217.45000000000002,47.52,18.13
