Model,Size,Method,Task,Joules,Watts,Seconds,Rows,GPUs
meta-llama/Llama-3.2-1B-Instruct,1B,LoRA_FP16,summ,74995.85,53.85,1392.68,5000,1
meta-llama/Llama-3.2-1B-Instruct,1B,LoRA_FP16,rag,92122.30,54.48,1690.81,15000,1
meta-llama/Llama-3.2-1B-Instruct,1B,LoRA_FP16,chat,248645.76,52.71,4717.27,10000,1
meta-llama/Llama-3.2-1B-Instruct,1B,QLoRA_INT4,rag,784066.12,64.69,12120.74,15000,1
meta-llama/Llama-3.2-1B-Instruct,1B,QLoRA_INT4,summ,636260.08,65.70,9684.25,5000,1
meta-llama/Llama-3.2-1B-Instruct,1B,QLoRA_INT4,chat,1278476.99,65.64,19475.85,10000,1
meta-llama/Llama-3.2-3B-Instruct,3B,QLoRA_INT4,rag,1373313.52,65.04,21115.47,10000,1
meta-llama/Llama-3.2-3B-Instruct,3B,QLoRA_INT4,summ,1864285.11,65.14,28617.49,5000,1
meta-llama/Llama-3.2-3B-Instruct,3B,QLoRA_INT4,chat,2261942.89,65.71,34421.05,10000,1
meta-llama/Llama-3.2-3B-Instruct,3B,LoRA_FP16,rag,192910.35,52.96,3642.59,10000,1
meta-llama/Llama-3.2-3B-Instruct,3B,LoRA_FP16,chat,552743.08,52.50,10528.32,10000,1
meta-llama/Llama-3.2-3B-Instruct,3B,LoRA_FP16,summ,1079350.72,66.16,16313.76,5000,1
meta-llama/Llama-3.1-8B-Instruct,7B,LoRA_FP16,rag,317909.76,103.84,3061.44,5000,2
meta-llama/Llama-3.1-8B-Instruct,7B,LoRA_FP16,chat,1974784.78,101.81,19396.00,10000,2
meta-llama/Llama-3.1-8B-Instruct,7B,LoRA_FP16,summ,670110.03,101.12,6626.58,5000,2
meta-llama/Llama-3.1-8B-Instruct,7B,QLoRA_INT4,rag,1496445.06,64.55,23182.47,5000,1
meta-llama/Llama-3.1-8B-Instruct,7B,QLoRA_INT4,chat,2460340.27,66.76,36851.20,10000,1
meta-llama/Llama-3.1-8B-Instruct,7B,QLoRA_INT4,summ,2686396.15,64.56,41613.50,5000,1
