Model,Size,Method,Task,Joules,Watts,Seconds,Rows,GPUs
Qwen/Qwen2.5-1.5B-Instruct,1B,LoRA_FP16,summ,95566.29,51.15,1868.39,5000,1
Qwen/Qwen2.5-1.5B-Instruct,1B,LoRA_FP16,rag,192608.76,56.21,3426.54,15000,1
Qwen/Qwen2.5-1.5B-Instruct,1B,LoRA_FP16,chat,294655.78,59.98,4912.96,10000,1
Qwen/Qwen2.5-1.5B-Instruct,1B,QLoRA_INT4,rag,983932.23,64.75,15196.88,15000,1
Qwen/Qwen2.5-1.5B-Instruct,1B,QLoRA_INT4,summ,1420189.36,65.32,21743.58,5000,1
Qwen/Qwen2.5-1.5B-Instruct,1B,QLoRA_INT4,chat,1778576.96,65.06,27336.66,10000,1
Qwen/Qwen2.5-3B-Instruct,3B,QLoRA_INT4,chat,2372589.18,65.36,36302.07,10000,1
Qwen/Qwen2.5-3B-Instruct,3B,QLoRA_INT4,rag,1365488.55,64.65,21121.81,10000,1
Qwen/Qwen2.5-3B-Instruct,3B,QLoRA_INT4,summ,1679848.44,66.15,25393.13,5000,1
Qwen/Qwen2.5-3B-Instruct,3B,LoRA_FP16,rag,166845.44,50.56,3300.20,10000,1
Qwen/Qwen2.5-3B-Instruct,3B,LoRA_FP16,chat,482047.71,51.65,9332.41,10000,1
Qwen/Qwen2.5-3B-Instruct,3B,LoRA_FP16,summ,154567.52,54.21,2851.33,5000,1
Qwen/Qwen2.5-7B-Instruct,7B,QLoRA_INT4,rag,1434640.39,64.22,22339.84,5000,1
Qwen/Qwen2.5-7B-Instruct,7B,QLoRA_INT4,summ,2558265.29,65.93,38801.09,5000,1
Qwen/Qwen2.5-7B-Instruct,7B,QLoRA_INT4,chat,2073154.64,65.32,31738.12,10000,1
Qwen/Qwen2.5-7B-Instruct,7B,LoRA_FP16,summ,658205.93,103.16,6380.24,5000,2
Qwen/Qwen2.5-7B-Instruct,7B,LoRA_FP16,chat,1633056.63,100.26,16288.35,10000,2
Qwen/Qwen2.5-7B-Instruct,7B,LoRA_FP16,rag,312649.30,102.37,3054.00,5000,2
