Model_ID,Family,Size,Method,Precision,Task,Quantization,Num_Samples,Total_Tokens,Model_Load_Time,Inference_Time,Overall_Throughput,TTFT_Mean,TTFT_Median,ITL_Mean,ITL_Median,Energy_Total_J,Power_Avg_W,Power_Peak_W,Status
EkcupKadakChai/Llama-7B_LoRA_FP16_rag-INT8,Llama,7B,LoRA,INT8,rag,INT8,100,15000,24.86,10.96,1368.02,64.35,64.99,19.61,18.94,1210.51,110.4,125.48,success
EkcupKadakChai/Llama-7B_LoRA_FP16_rag-INT4,Llama,7B,LoRA,INT4,rag,INT4,100,15000,19.08,8.92,1682.2,46.11,48.28,17.85,17.34,856.91,96.1,102.66,success
EkcupKadakChai/Llama-7B_LoRA_FP16_rag-FP16,Llama,7B,LoRA,FP16,rag,FP16,100,15000,32.67,16.98,883.49,73.98,72.43,27.6,26.61,2215.81,130.51,141.82,success
EkcupKadakChai/Llama-7B_QLoRA_INT4_rag-MERGED,Llama,7B,QLoRA,INT4,rag,INT4,100,15000,18.54,8.81,1702.28,47.94,48.0,17.05,16.28,907.52,102.99,109.9,success
EkcupKadakChai/Llama-7B_LoRA_FP16_summ-INT8,Llama,7B,LoRA,INT8,summ,INT8,100,20000,23.28,15.5,1289.94,67.23,69.3,20.24,19.42,1896.21,122.3,133.8,success
EkcupKadakChai/Llama-7B_LoRA_FP16_summ-INT4,Llama,7B,LoRA,INT4,summ,INT4,100,20000,17.29,13.04,1534.32,46.25,48.14,15.93,16.19,1280.05,98.2,108.22,success
EkcupKadakChai/Llama-7B_LoRA_FP16_summ-FP16,Llama,7B,LoRA,FP16,summ,FP16,100,20000,34.32,25.38,788.15,82.04,84.3,29.37,30.53,3479.29,137.11,156.61,success
EkcupKadakChai/Llama-7B_QLoRA_INT4_summ-MERGED,Llama,7B,QLoRA,INT4,summ,INT4,100,20000,17.16,13.69,1460.81,46.36,45.55,16.37,15.99,1459.19,106.58,115.71,success
EkcupKadakChai/Llama-7B_LoRA_FP16_chat-INT8,Llama,7B,LoRA,INT8,chat,INT8,100,10000,24.38,6.85,1459.91,57.08,58.81,19.27,20.21,849.16,123.97,132.64,success
EkcupKadakChai/Llama-7B_LoRA_FP16_chat-INT4,Llama,7B,LoRA,INT4,chat,INT4,100,10000,16.85,5.15,1943.38,53.11,54.33,17.65,16.9,509.22,98.96,105.05,success
EkcupKadakChai/Llama-7B_LoRA_FP16_chat-FP16,Llama,7B,LoRA,FP16,chat,FP16,100,10000,36.47,9.81,1019.73,72.46,69.3,25.98,25.53,1372.52,139.96,155.88,success
EkcupKadakChai/Llama-7B_QLoRA_INT4_chat-MERGED,Llama,7B,QLoRA,INT4,chat,INT4,100,10000,20.15,5.43,1841.78,47.12,48.12,17.61,17.72,573.58,105.64,116.14,success
EkcupKadakChai/Llama-3B_LoRA_FP16_rag-FP16,Llama,3B,LoRA,FP16,rag,FP16,100,15000,18.58,11.5,1304.7,47.52,45.65,18.13,18.37,1282.82,111.58,122.84,success
EkcupKadakChai/Llama-3B_QLoRA_INT4_rag-MERGED,Llama,3B,QLoRA,INT4,rag,INT4,100,15000,11.0,6.4,2344.04,35.06,35.96,11.73,11.23,533.37,83.35,88.86,success
EkcupKadakChai/Llama-3B_LoRA_FP16_rag-INT8,Llama,3B,LoRA,INT8,rag,INT8,100,15000,15.07,7.47,2008.36,44.2,45.84,16.55,16.03,803.34,107.56,118.74,success
EkcupKadakChai/Llama-3B_LoRA_FP16_rag-INT4,Llama,3B,LoRA,INT4,rag,INT4,100,15000,10.8,5.78,2596.76,34.4,33.06,11.73,11.64,523.58,90.64,102.97,success
